"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2018,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Estrangers",541
2018,8,"Nou Barris",56,"Vallbona","Alta","Estrangers",27
2018,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Estrangers",434
2018,9,"Sant Andreu",58,"Baró de Viver","Alta","Estrangers",51
2018,9,"Sant Andreu",59,"el Bon Pastor","Alta","Estrangers",312
2018,9,"Sant Andreu",60,"Sant Andreu","Alta","Estrangers",555
2018,9,"Sant Andreu",61,"la Sagrera","Alta","Estrangers",504
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Estrangers",323
2018,9,"Sant Andreu",63,"Navas","Alta","Estrangers",440
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Estrangers",944
2018,10,"Sant Martí",65,"el Clot","Alta","Estrangers",467
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Estrangers",349
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Estrangers",133
2018,10,"Sant Martí",68,"el Poblenou","Alta","Estrangers",771
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Estrangers",233
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Estrangers",1103
2018,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Estrangers",409
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Estrangers",471
2018,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Estrangers",494
2018,1,"Ciutat Vella",1,"el Raval","Baixa","Espanyols",1617
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Baixa","Espanyols",574
2018,1,"Ciutat Vella",3,"la Barceloneta","Baixa","Espanyols",538
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","Espanyols",754
2018,2,"Eixample",5,"el Fort Pienc","Baixa","Espanyols",916
2018,2,"Eixample",6,"la Sagrada Família","Baixa","Espanyols",1700
2018,2,"Eixample",7,"la Dreta de l'Eixample","Baixa","Espanyols",1586
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","Espanyols",1398
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","Espanyols",1848
2018,2,"Eixample",10,"Sant Antoni","Baixa","Espanyols",1245
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Baixa","Espanyols",1216
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","Espanyols",26
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Baixa","Espanyols",760
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Baixa","Espanyols",305
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Baixa","Espanyols",574
2018,3,"Sants-Montjuïc",16,"la Bordeta","Baixa","Espanyols",503
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Baixa","Espanyols",637
2018,3,"Sants-Montjuïc",18,"Sants","Baixa","Espanyols",1373
2018,4,"Les Corts",19,"les Corts","Baixa","Espanyols",1442
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Baixa","Espanyols",606
2018,4,"Les Corts",21,"Pedralbes","Baixa","Espanyols",425
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Baixa","Espanyols",172
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Baixa","Espanyols",1098
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Baixa","Espanyols",670
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Baixa","Espanyols",1042
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Baixa","Espanyols",1772
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Baixa","Espanyols",1168
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Baixa","Espanyols",514
2018,6,"Gràcia",29,"el Coll","Baixa","Espanyols",238
2018,6,"Gràcia",30,"la Salut","Baixa","Espanyols",445
2018,6,"Gràcia",31,"la Vila de Gràcia","Baixa","Espanyols",1901
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Baixa","Espanyols",1078
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Baixa","Espanyols",845
2018,7,"Horta-Guinardó",34,"Can Baró","Baixa","Espanyols",286
2018,7,"Horta-Guinardó",35,"el Guinardó","Baixa","Espanyols",1300
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Baixa","Espanyols",320
2018,7,"Horta-Guinardó",37,"el Carmel","Baixa","Espanyols",1029
2018,7,"Horta-Guinardó",38,"la Teixonera","Baixa","Espanyols",370
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","Espanyols",190
2018,7,"Horta-Guinardó",40,"Montbau","Baixa","Espanyols",167
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Baixa","Espanyols",130
2018,7,"Horta-Guinardó",42,"la Clota","Baixa","Espanyols",17
2018,7,"Horta-Guinardó",43,"Horta","Baixa","Espanyols",865
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","Espanyols",835
2018,8,"Nou Barris",45,"Porta","Baixa","Espanyols",884
2018,8,"Nou Barris",46,"el Turó de la Peira","Baixa","Espanyols",547
2018,8,"Nou Barris",47,"Can Peguera","Baixa","Espanyols",68
2018,8,"Nou Barris",48,"la Guineueta","Baixa","Espanyols",422
2018,8,"Nou Barris",49,"Canyelles","Baixa","Espanyols",168
2018,8,"Nou Barris",50,"les Roquetes","Baixa","Espanyols",550
2018,8,"Nou Barris",51,"Verdun","Baixa","Espanyols",409
2018,8,"Nou Barris",52,"la Prosperitat","Baixa","Espanyols",827
2018,8,"Nou Barris",53,"la Trinitat Nova","Baixa","Espanyols",246
2018,8,"Nou Barris",54,"Torre Baró","Baixa","Espanyols",60
2018,8,"Nou Barris",55,"Ciutat Meridiana","Baixa","Espanyols",307
2018,8,"Nou Barris",56,"Vallbona","Baixa","Espanyols",39
2018,9,"Sant Andreu",57,"la Trinitat Vella","Baixa","Espanyols",294
2018,9,"Sant Andreu",58,"Baró de Viver","Baixa","Espanyols",59
2018,9,"Sant Andreu",59,"el Bon Pastor","Baixa","Espanyols",496
2018,9,"Sant Andreu",60,"Sant Andreu","Baixa","Espanyols",1967
2018,9,"Sant Andreu",61,"la Sagrera","Baixa","Espanyols",877
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Baixa","Espanyols",438
2018,9,"Sant Andreu",63,"Navas","Baixa","Espanyols",555
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","Espanyols",1202
2018,10,"Sant Martí",65,"el Clot","Baixa","Espanyols",763
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","Espanyols",390
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","Espanyols",312
