Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2012,10,Sant Martí,67,la Vila Olímpica del Poblenou,27854.0
2012,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,16891.0
2012,8,Nou Barris,56,Vallbona,9994.0
2012,10,Sant Martí,65,el Clot,14858.0
2012,9,Sant Andreu,63,Navas,14630.0
2012,9,Sant Andreu,62,el Congrés i els Indians,13737.0
2012,9,Sant Andreu,61,la Sagrera,13851.000000000002
2012,9,Sant Andreu,60,Sant Andreu,14743.999999999998
2012,9,Sant Andreu,59,el Bon Pastor,12786.999999999998
2012,9,Sant Andreu,58,Baró de Viver,9956.0
2012,10,Sant Martí,64,el Camp de l'Arpa del Clot,15428.000000000002
2012,7,Horta-Guinardó,38,la Teixonera,13547.0
2012,7,Horta-Guinardó,36,la Font d'en Fargues,20425.0
2012,7,Horta-Guinardó,35,el Guinardó,17062.0
2012,3,Sants-Montjuïc,15,Hostafrancs,13699.0
2012,3,Sants-Montjuïc,14,la Font de la Guatlla,13243.000000000002
2012,3,Sants-Montjuïc,13,la Marina de Port,12806.0
2012,3,Sants-Montjuïc,12,la Marina del Prat Vermell,8721.0
2012,3,Sants-Montjuïc,11,el Poble Sec,15333.000000000002
2012,2,Eixample,10,Sant Antoni,18012.0
2012,3,Sants-Montjuïc,16,la Bordeta,13851.000000000002
2012,2,Eixample,9,la Nova Esquerra de l'Eixample,20121.000000000004
2012,2,Eixample,7,la Dreta de l'Eixample,28518.999999999996
2012,2,Eixample,6,la Sagrada Família,18107.0
2012,2,Eixample,5,el Fort Pienc,18620.0
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16967.0
2012,1,Ciutat Vella,3,la Barceloneta,13109.999999999998
2012,1,Ciutat Vella,2,el Barri Gòtic,18943.0
2012,2,Eixample,8,l'Antiga Esquerra de l'Eixample,22648.0
2012,3,Sants-Montjuïc,17,Sants - Badal,14117.0
2012,3,Sants-Montjuïc,18,Sants,16188.0
2012,4,Les Corts,19,les Corts,24624.0
2012,7,Horta-Guinardó,34,Can Baró,15466.000000000002
2012,7,Horta-Guinardó,33,el Baix Guinardó,16207.0
2012,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,18734.0
2012,6,Gràcia,31,la Vila de Gràcia,19494.0
2012,6,Gràcia,30,la Salut,22306.000000000004
2012,6,Gràcia,29,el Coll,17651.0
2012,6,Gràcia,28,Vallcarca i els Penitents,21603.0
2012,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,26257.999999999996
2012,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,33440.0
2012,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,35701.0
2012,5,Sarrià-Sant Gervasi,24,les Tres Torres,40850.0
2012,5,Sarrià-Sant Gervasi,23,Sarrià,36062.0
2012,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",33725.0
2012,4,Les Corts,21,Pedralbes,45733.0
2012,4,Les Corts,20,la Maternitat i Sant Ramon,20767.0
2012,7,Horta-Guinardó,37,el Carmel,11115.0
2012,10,Sant Martí,73,la Verneda i la Pau,10791.999999999998
2013,10,Sant Martí,73,la Verneda i la Pau,10827.300000000001
2013,4,Les Corts,20,la Maternitat i Sant Ramon,22909.100000000002
2013,4,Les Corts,21,Pedralbes,47072.700000000004
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",34315.4
2013,5,Sarrià-Sant Gervasi,23,Sarrià,37847.299999999996
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,43232.00000000001
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,36592.799999999996
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,37750.799999999996
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,27444.6
2013,6,Gràcia,28,Vallcarca i els Penitents,20052.700000000004
2013,6,Gràcia,29,el Coll,16038.3
2013,6,Gràcia,30,la Salut,21905.5
2013,6,Gràcia,31,la Vila de Gràcia,21133.5
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,19493.0
2013,7,Horta-Guinardó,33,el Baix Guinardó,16134.8
2013,7,Horta-Guinardó,34,Can Baró,14320.6
2013,4,Les Corts,19,les Corts,24086.4
2013,7,Horta-Guinardó,35,el Guinardó,16675.2
2013,3,Sants-Montjuïc,17,Sants - Badal,14783.799999999997
