,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili)
8,2014,2,Eixample,9,la Nova Esquerra de l'Eixample,57863,24561,2.4
14,2014,3,Sants-Montjuïc,15,Hostafrancs,15919,6579,2.4
7,2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41975,18282,2.3
5,2014,2,Eixample,6,la Sagrada Família,51562,22019,2.3
4,2014,2,Eixample,5,el Fort Pienc,31785,12978,2.4
3,2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22674,10021,2.3
2,2014,1,Ciutat Vella,3,la Barceloneta,15181,6881,2.2
1,2014,1,Ciutat Vella,2,el Barri Gòtic,15911,6638,2.4
0,2014,1,Ciutat Vella,1,el Raval,48471,17000,2.9
6,2014,2,Eixample,7,la Dreta de l'Eixample,43749,18518,2.4
15,2014,3,Sants-Montjuïc,16,la Bordeta,18451,7505,2.5
16,2014,3,Sants-Montjuïc,17,Sants - Badal,24245,10012,2.4
17,2014,3,Sants-Montjuïc,18,Sants,41102,17307,2.4
32,2014,7,Horta-Guinardó,33,el Baix Guinardó,25587,10854,2.4
31,2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34146,14795,2.3
30,2014,6,Gràcia,31,la Vila de Gràcia,50680,22939,2.2
29,2014,6,Gràcia,30,la Salut,13256,5435,2.4
28,2014,6,Gràcia,29,el Coll,7307,3045,2.4
27,2014,6,Gràcia,28,Vallcarca i els Penitents,15454,6452,2.4
26,2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29041,12148,2.4
25,2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46648,18498,2.5
24,2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25378,9336,2.7
23,2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,16381,5570,2.9
22,2014,5,Sarrià-Sant Gervasi,23,Sarrià,24691,8879,2.8
21,2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4615,1568,2.9
20,2014,4,Les Corts,21,Pedralbes,11670,4224,2.8
19,2014,4,Les Corts,20,la Maternitat i Sant Ramon,23735,9609,2.5
18,2014,4,Les Corts,19,les Corts,46205,19039,2.4
34,2014,7,Horta-Guinardó,35,el Guinardó,35698,15109,2.4
71,2014,10,Sant Martí,72,Sant Martí de Provençals,26018,10623,2.4
0,2015,1,Ciutat Vella,1,el Raval,47617,16776,2.84
72,2015,10,Sant Martí,73,la Verneda i la Pau,28678,11409,2.51
21,2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4635,1565,2.96
22,2015,5,Sarrià-Sant Gervasi,23,Sarrià,24614,8843,2.78
23,2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,16624,5580,2.98
24,2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25511,9352,2.73
25,2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,46968,18516,2.54
26,2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29149,12109,2.41
20,2015,4,Les Corts,21,Pedralbes,11763,4225,2.78
27,2015,6,Gràcia,28,Vallcarca i els Penitents,15508,6461,2.4
29,2015,6,Gràcia,30,la Salut,13213,5397,2.45
30,2015,6,Gràcia,31,la Vila de Gràcia,50584,22827,2.22
31,2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34047,14780,2.3
32,2015,7,Horta-Guinardó,33,el Baix Guinardó,25476,10775,2.36
33,2015,7,Horta-Guinardó,34,Can Baró,8938,3776,2.37
34,2015,7,Horta-Guinardó,35,el Guinardó,36073,15229,2.37
28,2015,6,Gràcia,29,el Coll,7324,3069,2.39
19,2015,4,Les Corts,20,la Maternitat i Sant Ramon,23845,9659,2.47
18,2015,4,Les Corts,19,les Corts,46086,19004,2.43
17,2015,3,Sants-Montjuïc,18,Sants,40889,17203,2.38
2,2015,1,Ciutat Vella,3,la Barceloneta,15036,6820,2.2
3,2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22305,9869,2.26
4,2015,2,Eixample,5,el Fort Pienc,31645,12880,2.46
5,2015,2,Eixample,6,la Sagrada Família,51347,21850,2.35
6,2015,2,Eixample,7,la Dreta de l'Eixample,43344,18308,2.37
7,2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41696,18081,2.31
8,2015,2,Eixample,9,la Nova Esquerra de l'Eixample,57711,24554,2.35
9,2015,2,Eixample,10,Sant Antoni,38248,16402,2.33
10,2015,3,Sants-Montjuïc,11,el Poble Sec,40217,15969,2.52
11,2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1145,442,2.59
12,2015,3,Sants-Montjuïc,13,la Marina de Port,30374,11772,2.58
13,2015,3,Sants-Montjuïc,14,la Font de la Guatlla,10355,4280,2.42
14,2015,3,Sants-Montjuïc,15,Hostafrancs,15812,6554,2.41
15,2015,3,Sants-Montjuïc,16,la Bordeta,18430,7518,2.45
16,2015,3,Sants-Montjuïc,17,Sants - Badal,24085,9933,2.42
35,2015,7,Horta-Guinardó,36,la Font d'en Fargues,9443,3697,2.55
36,2015,7,Horta-Guinardó,37,el Carmel,31498,12705,2.48
1,2015,1,Ciutat Vella,2,el Barri Gòtic,15269,6461,2.36
37,2015,7,Horta-Guinardó,38,la Teixonera,11322,4687,2.42
57,2015,9,Sant Andreu,58,Baró de Viver,2482,953,2.6
58,2015,9,Sant Andreu,59,el Bon Pastor,12655,4618,2.74
59,2015,9,Sant Andreu,60,Sant Andreu,56682,23363,2.43
60,2015,9,Sant Andreu,61,la Sagrera,29020,11730,2.47
61,2015,9,Sant Andreu,62,el Congrés i els Indians,14148,5916,2.39
62,2015,9,Sant Andreu,63,Navas,22110,8960,2.47
63,2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,38202,16234,2.35
64,2015,10,Sant Martí,65,el Clot,27013,10778,2.51
65,2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14764,6033,2.45
66,2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,9261,3501,2.65
67,2015,10,Sant Martí,68,el Poblenou,33579,13567,2.48
68,2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13352,5412,2.47
69,2015,10,Sant Martí,70,el Besòs i el Maresme,23026,8418,2.74
70,2015,10,Sant Martí,71,Provençals del Poblenou,20244,8093,2.5
71,2015,10,Sant Martí,72,Sant Martí de Provençals,26005,10589,2.46
56,2015,9,Sant Andreu,57,la Trinitat Vella,10210,3471,2.94
73,2015,99,No consta,99,No consta,1,0,0.0
55,2015,8,Nou Barris,56,Vallbona,1351,478,2.83
53,2015,8,Nou Barris,54,Torre Baró,2828,935,3.02
38,2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,6693,2795,2.39
39,2015,7,Horta-Guinardó,40,Montbau,5070,2106,2.41
40,2015,7,Horta-Guinardó,41,la Vall d'Hebron,5613,2277,2.47
41,2015,7,Horta-Guinardó,42,la Clota,568,249,2.28
42,2015,7,Horta-Guinardó,43,Horta,26624,10661,2.5
43,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25499,10491,2.43
44,2015,8,Nou Barris,45,Porta,24536,10143,2.42
45,2015,8,Nou Barris,46,el Turó de la Peira,15420,6153,2.51
46,2015,8,Nou Barris,47,Can Peguera,2267,926,2.45
47,2015,8,Nou Barris,48,la Guineueta,15074,6164,2.45
48,2015,8,Nou Barris,49,Canyelles,6946,2803,2.48
49,2015,8,Nou Barris,50,les Roquetes,15523,5836,2.66
50,2015,8,Nou Barris,51,Verdun,12258,5037,2.43
51,2015,8,Nou Barris,52,la Prosperitat,26184,10726,2.44
52,2015,8,Nou Barris,53,la Trinitat Nova,7362,2879,2.56
54,2015,8,Nou Barris,55,Ciutat Meridiana,10156,3543,2.87
72,2016,10,Sant Martí,73,la Verneda i la Pau,28673,11413,2.51
0,2016,1,Ciutat Vella,1,el Raval,47274,16851,2.81
71,2016,10,Sant Martí,72,Sant Martí de Provençals,26031,10584,2.46
50,2016,8,Nou Barris,51,Verdun,12261,5022,2.44
